epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9626,1.33198,38.9704,0.00381,0.96857,0.9,0.90993,0.60003,1.48235,13.4443,0.00461,0.00024,0.00024,0.00024
2,31.735,1.3001,16.304,0.00327,0.82414,1,0.96167,0.60977,1.40393,6.13637,0.00423,0.0004505,0.0004505,0.0004505
3,39.525,1.28968,7.40338,0.00344,0.82666,1,0.94833,0.59632,1.3209,2.44066,0.00388,0.00060952,0.00060952,0.00060952
4,46.7795,1.30794,2.52826,0.00342,1,0.9945,0.995,0.68171,1.28765,1.36681,0.00403,0.00071706,0.00071706,0.00071706
5,54.5627,1.05191,1.47103,0.00274,0.90824,0.99065,0.95864,0.71698,1.0708,0.55884,0.00309,0.00077312,0.00077312,0.00077312
6,62.3057,1.28117,1.07026,0.00344,0.90519,1,0.94045,0.72951,0.9008,0.5175,0.00262,0.0007777,0.0007777,0.0007777
7,70.039,1.1145,0.67566,0.00268,0.90626,1,0.96773,0.73376,0.99884,nan,0.003,0.0007308,0.0007308,0.0007308
8,77.7789,1.067,0.57549,0.00271,0.99906,1,0.995,0.69699,1.19121,nan,0.00361,0.000614,0.000614,0.000614
9,84.9024,1.15495,0.49473,0.00277,0.9943,1,0.995,0.79631,0.8499,0.24329,0.0025,0.000416,0.000416,0.000416
10,92.5476,0.97448,0.41176,0.00252,0.98895,1,0.995,0.82002,0.79219,0.24829,0.00233,0.000218,0.000218,0.000218
