epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78462,1.45955,34.9631,0.00392,0.00329,0.36364,0.00732,0.00506,0.94176,19.5863,0.003,0.00014,0.00014,0.00014
2,10.287,1.40451,15.3232,0.00331,0.91039,1,0.9725,0.66779,1.29746,11.543,0.00407,0.00029406,0.00029406,0.00029406
3,15.6925,1.63502,8.92607,0.00376,0.96744,0.90909,0.96,0.6522,1.29511,4.28318,0.00414,0.000441784,0.000441784,0.000441784
4,20.5944,1.54407,4.56985,0.00379,0.98856,1,0.995,0.53112,1.61724,2.06889,0.00522,0.000583172,0.000583172,0.000583172
5,25.5003,1.32017,2.58152,0.00333,1,0.98409,0.995,0.62137,1.35075,0.75648,0.00408,0.000718224,0.000718224,0.000718224
6,30.4158,1.26861,1.94186,0.00335,0.99415,1,0.995,0.53041,1.6574,0.819,0.00525,0.00084694,0.00084694,0.00084694
7,35.3027,1.40919,0.91362,0.00359,0.90269,1,0.995,0.44057,1.8708,0.83182,0.00599,0.00096932,0.00096932,0.00096932
8,40.1749,1.44148,1.07656,0.00355,0.98888,1,0.995,0.55484,1.65406,0.6578,0.0055,0.00108536,0.00108536,0.00108536
9,45.0945,1.35956,0.7199,0.00356,0.91296,1,0.995,0.58885,1.59895,nan,0.00518,0.00119507,0.00119507,0.00119507
10,49.9817,1.14876,0.62217,0.00281,0.99536,1,0.995,0.62323,1.50756,nan,0.00481,0.00129844,0.00129844,0.00129844
11,54.9145,1.43418,0.61566,0.00362,0.94158,1,0.995,0.60385,1.45972,0.47628,0.00489,0.00139548,0.00139548,0.00139548
12,59.8051,1.56094,0.58075,0.00388,0.91594,0.99125,0.98,0.61625,1.44453,0.60656,0.00471,0.00148618,0.00148618,0.00148618
13,64.697,1.31861,0.55986,0.00355,0.8558,0.90909,0.98115,0.59234,1.47605,2.00337,0.00483,0.0015248,0.0015248,0.0015248
14,69.6114,1.21818,0.61505,0.00293,0.90626,1,0.98,0.54887,1.66933,0.4608,0.00579,0.0014852,0.0014852,0.0014852
15,74.5027,1.52991,0.5488,0.00369,0.83737,1,0.96731,0.44901,1.88533,0.53508,0.0071,0.0014456,0.0014456,0.0014456
16,79.3844,1.43475,0.42553,0.00332,1,0.99314,0.995,0.60815,1.58402,0.42178,0.00529,0.001406,0.001406,0.001406
17,84.3119,1.47515,0.44371,0.00379,0.91644,0.99724,0.98,0.652,1.34409,0.41271,0.0044,0.0013664,0.0013664,0.0013664
18,89.1964,1.22613,0.36092,0.00285,1,0.99906,0.995,0.69998,1.23182,0.31641,0.00388,0.0013268,0.0013268,0.0013268
19,94.6174,1.44635,0.41814,0.00382,0.98531,1,0.995,0.7107,1.1701,0.41739,0.00368,0.0012872,0.0012872,0.0012872
20,100.045,1.24854,0.43,0.00294,0.99,1,0.995,0.65698,1.36529,0.35369,0.00436,0.0012476,0.0012476,0.0012476
21,104.936,1.22518,0.35658,0.00313,0.98821,1,0.995,0.64023,1.34823,0.38849,0.00446,0.001208,0.001208,0.001208
22,109.815,1.29841,0.40175,0.00367,0.97712,1,0.995,0.67949,1.2178,0.36756,0.00396,0.0011684,0.0011684,0.0011684
23,114.7,1.35091,0.40674,0.00339,0.99319,1,0.995,0.66581,1.36794,nan,0.00434,0.0011288,0.0011288,0.0011288
24,119.608,1.30256,0.39924,0.00328,0.99441,1,0.995,0.69307,1.1645,nan,0.00365,0.0010892,0.0010892,0.0010892
25,124.532,1.20895,0.38602,0.00288,0.99491,1,0.995,0.68346,1.205,0.30523,0.00383,0.0010496,0.0010496,0.0010496
26,129.474,1.07811,0.41733,0.00265,0.99525,1,0.995,0.65195,1.34341,0.31053,0.0044,0.00101,0.00101,0.00101
27,134.391,1.15971,0.34609,0.00295,0.99678,1,0.995,0.72134,1.18587,0.3017,0.00377,0.0009704,0.0009704,0.0009704
28,139.933,1.0477,0.30776,0.00265,0.83255,1,0.96479,0.69177,1.11606,0.51606,0.00362,0.0009308,0.0009308,0.0009308
29,144.92,1.02129,0.35361,0.00238,0.99509,1,0.995,0.74562,1.11395,0.25311,0.00356,0.0008912,0.0008912,0.0008912
30,150.42,1.14602,0.33082,0.00271,0.99501,1,0.995,0.77834,1.03995,0.23671,0.00335,0.0008516,0.0008516,0.0008516
