epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45469,1.03563,12.2473,0.00467,0.58501,0.45,0.51482,0.42046,0.75011,9.74917,0.00421,0.00012,0.00012,0.00012
2,9.37965,1.0175,9.32321,0.00456,0.88179,0.85,0.90952,0.76166,0.78849,4.14023,0.00436,0.000257426,0.000257426,0.000257426
3,14.2529,0.9891,4.78752,0.00409,0.88646,1,0.95773,0.74608,0.96999,2.13649,0.00544,0.00039208,0.00039208,0.00039208
4,18.5383,0.93071,2.93354,0.00372,0.87357,0.9,0.9354,0.75805,0.76389,2.05638,0.00423,0.000523962,0.000523962,0.000523962
5,23.0296,0.9485,2.97489,0.00407,1,0.67577,0.92925,0.67132,1.05316,1.92396,0.00573,0.000653072,0.000653072,0.000653072
6,27.4162,0.89005,1.65342,0.00414,1,0.98424,0.995,0.73345,1.03261,0.50515,0.00559,0.00077941,0.00077941,0.00077941
7,31.8122,1.00879,1.03377,0.0044,0.94389,0.84148,0.98548,0.65182,1.28798,0.73288,0.007,0.000902976,0.000902976,0.000902976
8,36.0973,1.15333,0.92783,0.00482,0.98153,0.9,0.9825,0.59481,1.50562,0.56149,0.00864,0.00102377,0.00102377,0.00102377
9,40.3983,1.0413,0.74202,0.0045,1,0.43948,0.69456,0.45821,1.19349,2.06329,0.00712,0.00114179,0.00114179,0.00114179
10,44.6851,0.96942,0.67604,0.00419,1,0.24808,0.75815,0.47044,1.09915,2.40597,0.00646,0.00125704,0.00125704,0.00125704
11,48.9423,1.20503,0.71886,0.0053,0.90919,0.95,0.98545,0.78547,0.8455,0.61451,0.00488,0.00136952,0.00136952,0.00136952
12,53.7553,1.10146,0.62651,0.00463,1,0.89548,0.98598,0.74374,1.02671,0.71605,0.00559,0.00147923,0.00147923,0.00147923
13,57.9409,1.08179,0.80976,0.00472,1,0.84826,0.97485,0.66129,1.19491,1.07289,0.00633,0.00158616,0.00158616,0.00158616
14,62.1814,1.14256,0.80859,0.00477,1,0.99695,0.995,0.71835,1.01469,0.85864,0.00572,0.00169032,0.00169032,0.00169032
15,66.4777,1.3083,0.94764,0.00532,0.88067,0.9,0.933,0.60501,1.25667,0.94617,0.00679,0.0017228,0.0017228,0.0017228
16,70.7442,1.33259,0.6795,0.00589,0.99165,0.95,0.97278,0.72364,1.07303,0.66756,0.00595,0.001703,0.001703,0.001703
17,74.9441,1.25061,0.56076,0.00569,0.94421,0.9,0.91167,0.66864,1.13308,0.79372,0.00674,0.0016832,0.0016832,0.0016832
18,79.1386,1.2976,0.60319,0.00539,0.94966,0.94359,0.96703,0.73702,0.91585,0.67998,0.00532,0.0016634,0.0016634,0.0016634
19,83.3609,1.08788,0.46212,0.00466,0.99574,0.85,0.88668,0.57064,1.32642,1.84372,0.00746,0.0016436,0.0016436,0.0016436
20,87.5977,1.0669,0.45633,0.00474,0.94598,0.95,0.97545,0.62709,1.2316,0.50471,0.00672,0.0016238,0.0016238,0.0016238
21,91.8207,1.18469,0.47583,0.00515,0.9922,1,0.995,0.69782,1.18474,0.3811,0.00676,0.001604,0.001604,0.001604
22,96.0756,1.11712,0.45189,0.0051,0.99598,1,0.995,0.75276,0.98801,0.38232,0.00573,0.0015842,0.0015842,0.0015842
23,100.311,1.00596,0.40035,0.00421,1,0.94703,0.94542,0.75258,0.92444,0.72983,0.00558,0.0015644,0.0015644,0.0015644
24,104.566,1.07554,0.38312,0.0045,0.99367,1,0.995,0.73973,0.98852,0.66617,0.0056,0.0015446,0.0015446,0.0015446
